title,author,first_publish_year,edition_count,isbn,subject
Why Machines Learn,Anil Ananthaswamy,2024,4,,
The Time Machine,H. G. Wells,1895,1146,,
Machine learning,"Kevin P. Murphy, Kevin P. Murphy",2012,4,,
Introduction to Machine Learning with Python,"Andreas C. Mueller, Sarah Guido",2016,2,,
Machine learning,Ethem Alpaydin,2016,4,,
Machine Learning System Design Interview,"Ali Aminian, Alex Xu",2023,1,,
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Aurélien Géron,2019,4,,
Introduction to machine learning,Ethem Alpaydin,2004,5,,
Machine Learning Proceedings 1995,Machine Learning,1995,2,,
Machine Learning,Mg Martin,2019,4,,
Machine Learning,Tom M. Mitchell,1997,2,,
Ἰλιάς,Όμηρος,1505,1084,,
The Invisible Man,H. G. Wells,0,563,,
Alice's Adventures in Wonderland,Lewis Carroll,1865,3546,,
Machine Learning For Dummies,"John Paul Mueller, Luca Massaron",2016,6,,
Machine Learning Proceedings 1990,Machine Learning,1990,1,,
Machine Learning Proceedings 1993,Machine Learning,1993,2,,
Machine Learning,Vincy Joseph Anuradha Srinivasaraghavan,2018,1,,
Machine Learning Proceedings 1989,Machine Learning,1989,1,,
Python machine learning,Sebastian Raschka,2015,4,,
Machine-Learning Basics for Beginners : Machine Learning Methods,Valentin Cholewa,2021,1,,
Machine Learning Proceedings 1991 (Ml91),Machine Learning,1991,1,,
Machine Learning Proceedings 1992 (Ml92),Machine Learning,1992,1,,
The Hundred-Page Machine Learning Book,Andriy Burkov,2019,3,,
Mathematics for Machine Learning,"Marc Peter Deisenroth, A. Aldo Faisal, Cheng Soon Ong",2019,4,,
At the Back of the North Wind,George MacDonald,1871,496,,
Machine Learning,Robert Keane,2017,2,,
Machine Learning,Alexander Jung,2023,1,,
Machine Learning,Peter Wolfinger,2020,1,,
Designing Machine Learning Systems,Chip Huyen,2022,1,,
Machine learning,"Ryszard S. Michalski, Jaime G. Carbonell, Tom M. Mitchell",1983,1,,
Machine learning,Stephen Marsland,2009,9,,
Machine Learning,"Mohssen Mohammed, Muhammad Badruddin Khan, Ejhab Bashier Mohammed Bashier",2016,6,,
Machine Learning with Pytorch and Scikit-Learn,"Sebastian Raschka, Yuxi (Hayden) Liu, Vahid Mirjalili, Dmytro Dzhulgakov",2022,2,,
Foundations of machine learning,Mehryar Mohri,2012,6,,
Machine Learning For Absolute Beginners,Oliver Theobald,2017,3,,
Machine Learning,Frank Millstein,2018,1,,
Optimization and Machine Learning,"Rachid Chelouah, Patrick Siarry",2022,4,,
Machine Learning,Steve Jacobs,2017,1,,
Probabilistic Machine Learning,Kevin P. Murphy,2022,2,,
Machine Learning,"Rui Camacho,Pavel Brazdil,Jo O. Gama",2008,1,,
Machine Learning,Edward Mize,2019,1,,
Machine learning for hackers,Drew Conway,2012,4,,
Machine Learning Basics : a Comprehensive Guide about Machine Learning,Valorie Mennen,2021,1,,
Machine Learning with Python,"Eknath, Prof. Upasani Dhananjay, 1st, Shete, Prof. Virendra Virbhadra, 1st",2021,1,,
Cost-sensitive machine learning,"Balaji Krishnapuram, Shipeng Yu, Bharat Rao",2011,5,,
Machine Learning,Seyedeh Leili Mirtaheri,2022,5,,
Machine Learning Interviews,Susan Shu Chang,2023,1,,
Machine Learning Design Interview,Khang Pham,2022,1,,
Machine Learning,Edgar Wertheim,2016,1,,
Machine Learning Truth,Aubrey Mazzotta,2022,1,,
Machine learning in action,Peter Harrington,2012,2,,
Machine Learning,Jugal Kalita,2022,4,,
Machine Learning Python,Nexcod Publishing,2019,1,,
Machine Learning,"T. V. Geetha, S. Sendhilkumar",2023,2,,
Machine learning,Thomas Mitchell,1997,2,,
Applied Machine Learning,M. GOPAL,2019,1,,
Machine Learning,Jason Bell,2014,9,,
Airframe,Michael Crichton,1996,73,,
Machine learning,Balas Kausik Natarajan,1991,1,,
Machine learning,Richard Forsyth,1989,1,,
Machine Learning,Tony Jebara,2004,2,,
Machine Learning,Steven W. Knox,2018,3,,
"Machine Learning Book : Learn Machine Learning, Deep Learning, Data Science, and More!",Barbar Levander,2021,1,,
Practices for Machine Learning,Shirlene Canario,2021,1,,
Machine Learning Guide,Desirae Koloski,2022,1,,
Python Machine Learning,Frank Millstein,2018,1,,
Machine Learning,Leonard Eddison,2018,1,,
Grokking Machine Learning,Luis Serrano,2021,2,,
Machine Learning Systems,Johnson Indovina,2022,1,,
Machine Learning,"Maritza Palacios Medina, Víctor Viera Balanta",2018,1,,
Machine Learning,"Vinod Chandra, Anand Hareendran",2021,1,,
Machine learning,Jaime G. Carbonell,1990,1,,
Machine Learning,"C. R. Rao, Venu Govindaraju",2013,2,,
Machine Learning : This Book Includes,Daniel Géron,2019,1,,
Practices for Machine Learning : What Is Machine Learning,Werner Margison,2021,1,,
Python machine learning from scratch,Jonathan Adam,2016,1,,
The Alignment Problem,Brian Christian,2020,8,,
Machine Learning,Balas K. Natarajan,2014,1,,
Machine Learning,Oliver Tensor,2019,1,,
Machine Learning,Jugal Kumar Kalita,2022,1,,
Machine Learning,Nelson Boli´var,2021,1,,
Machine Learning,George Duckett,2016,1,,
Machine Learning,Henry Liu,2018,1,,
Machine Learning,Bob Kelley,2021,1,,
Machine Learning 2020,Phill Vega,2020,1,,
